,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0015414240000382051,26.0,10.0,True,10,0.1,1000
1,1,0.016982659999996486,32.0,22.0,True,10,0.1,1000
2,2,0.028156719000037356,32.0,33.0,True,10,0.1,1000
3,3,0.03863266600001225,32.0,44.0,True,10,0.1,1000
4,4,0.049073446000022614,32.0,55.0,True,10,0.1,1000
5,5,0.05992579400003706,32.0,66.0,True,10,0.1,1000
6,6,0.0705735810000192,32.0,77.0,True,10,0.1,1000
7,7,0.08159407100004046,32.0,88.0,True,10,0.1,1000
8,8,0.09248383300001706,32.0,99.0,True,10,0.1,1000
9,9,0.10287963100000752,32.0,110.0,True,10,0.1,1000
10,10,0.1145871180000313,32.0,121.0,True,10,0.1,1000
11,11,0.12553364900003317,32.0,132.0,True,10,0.1,1000
12,12,0.13615176500002235,32.0,143.0,True,10,0.1,1000
13,13,0.14725014600003306,32.0,154.0,True,10,0.1,1000
14,14,0.15793414300003406,32.0,165.0,True,10,0.1,1000
15,15,0.16872105999999576,32.0,176.0,True,10,0.1,1000
16,16,0.17999703300000647,32.0,187.0,True,10,0.1,1000
17,17,0.19050298199999816,32.0,198.0,True,10,0.1,1000
18,18,0.20138532200002146,32.0,209.0,True,10,0.1,1000
19,19,0.2126044770000135,32.0,220.0,True,10,0.1,1000
20,20,0.22322220500001322,32.0,231.0,True,10,0.1,1000
21,21,0.23402094100003978,32.0,242.0,True,10,0.1,1000
22,22,0.24523263300000053,32.0,253.0,True,10,0.1,1000
23,23,0.25602148900003385,32.0,264.0,True,10,0.1,1000
24,24,0.2667548160000024,32.0,275.0,True,10,0.1,1000
25,25,0.2777224700000147,32.0,286.0,True,10,0.1,1000
26,26,0.2884873369999923,32.0,297.0,True,10,0.1,1000
27,27,0.2992558910000298,32.0,308.0,True,10,0.1,1000
28,28,0.3100271810000095,32.0,319.0,True,10,0.1,1000
29,29,0.32058897500002104,32.0,330.0,True,10,0.1,1000
30,30,0.33175212100002227,32.0,341.0,True,10,0.1,1000
31,31,0.34266558300004135,32.0,352.0,True,10,0.1,1000
32,32,0.35353797200002646,32.0,363.0,True,10,0.1,1000
33,33,0.3644707370000333,32.0,374.0,True,10,0.1,1000
34,34,0.37530894400003945,32.0,385.0,True,10,0.1,1000
35,35,0.3861784950000242,32.0,396.0,True,10,0.1,1000
36,36,0.39721343500002604,32.0,407.0,True,10,0.1,1000
37,37,0.40816523199998755,32.0,418.0,True,10,0.1,1000
38,38,0.4188123270000119,32.0,429.0,True,10,0.1,1000
39,39,0.4297274290000246,32.0,440.0,True,10,0.1,1000
40,40,0.44055561499999385,32.0,451.0,True,10,0.1,1000
41,41,0.4513991750000059,32.0,462.0,True,10,0.1,1000
42,42,0.46247854900002494,32.0,473.0,True,10,0.1,1000
43,43,0.47320052000003443,32.0,484.0,True,10,0.1,1000
44,44,0.48429367599999296,32.0,495.0,True,10,0.1,1000
45,45,0.4952299600000174,32.0,506.0,True,10,0.1,1000
46,46,0.5060110539999982,32.0,517.0,True,10,0.1,1000
47,47,0.5167352120000146,32.0,528.0,True,10,0.1,1000
48,48,0.5278852300000381,32.0,539.0,True,10,0.1,1000
49,49,0.5383500600000275,32.0,550.0,True,10,0.1,1000
50,50,0.5490852870000253,32.0,561.0,True,10,0.1,1000
51,51,0.5601917200000344,32.0,572.0,True,10,0.1,1000
52,52,0.5708719570000085,32.0,583.0,True,10,0.1,1000
53,53,0.5816462290000004,32.0,594.0,True,10,0.1,1000
54,54,0.5925358990000404,32.0,605.0,True,10,0.1,1000
55,55,0.6031988350000006,32.0,616.0,True,10,0.1,1000
56,56,0.6140232370000263,32.0,627.0,True,10,0.1,1000
57,57,0.6249767520000091,32.0,638.0,True,10,0.1,1000
58,58,0.6357432689999882,32.0,649.0,True,10,0.1,1000
59,59,0.6468604000000369,32.0,660.0,True,10,0.1,1000
60,60,0.6574848110000175,32.0,671.0,True,10,0.1,1000
61,61,0.6682924899999989,32.0,682.0,True,10,0.1,1000
62,62,0.6797838030000207,32.0,693.0,True,10,0.1,1000
63,63,0.6904801780000298,32.0,704.0,True,10,0.1,1000
64,64,0.7011253740000143,32.0,715.0,True,10,0.1,1000
65,65,0.7123883790000036,32.0,726.0,True,10,0.1,1000
66,66,0.7229183389999889,32.0,737.0,True,10,0.1,1000
67,67,0.7336230999999884,32.0,748.0,True,10,0.1,1000
68,68,0.7448172050000039,32.0,759.0,True,10,0.1,1000
69,69,0.7552961700000083,32.0,770.0,True,10,0.1,1000
70,70,0.7661089620000325,32.0,781.0,True,10,0.1,1000
71,71,0.7770642250000037,32.0,792.0,True,10,0.1,1000
72,72,0.7874402950000103,32.0,803.0,True,10,0.1,1000
73,73,0.7980515500000251,32.0,814.0,True,10,0.1,1000
74,74,0.8092158869999935,32.0,825.0,True,10,0.1,1000
75,75,0.8198126910000383,32.0,836.0,True,10,0.1,1000
76,76,0.8309819750000429,32.0,847.0,True,10,0.1,1000
77,77,0.8416520310000237,32.0,858.0,True,10,0.1,1000
78,78,0.8521656970000322,32.0,869.0,True,10,0.1,1000
79,79,0.863067835000038,32.0,880.0,True,10,0.1,1000
80,80,0.8736457740000105,32.0,891.0,True,10,0.1,1000
81,81,0.8845244070000149,32.0,902.0,True,10,0.1,1000
82,82,0.8955973100000278,32.0,913.0,True,10,0.1,1000
83,83,0.9065076599999884,32.0,924.0,True,10,0.1,1000
84,84,0.917272032000028,32.0,935.0,True,10,0.1,1000
85,85,0.9285697420000361,32.0,946.0,True,10,0.1,1000
86,86,0.9393335770000135,32.0,957.0,True,10,0.1,1000
87,87,0.9501292780000199,32.0,968.0,True,10,0.1,1000
88,88,0.9613327970000114,32.0,979.0,True,10,0.1,1000
89,89,0.9719374890000267,32.0,990.0,True,10,0.1,1000
90,90,0.9834498090000352,32.0,1001.0,True,10,0.1,1000
91,91,0.9945807980000154,32.0,1012.0,True,10,0.1,1000
92,92,1.0051690640000288,32.0,1023.0,True,10,0.1,1000
93,93,1.0159657140000036,32.0,1034.0,True,10,0.1,1000
94,94,1.0270810179999899,32.0,1045.0,True,10,0.1,1000
95,95,1.0379278080000063,32.0,1056.0,True,10,0.1,1000
96,96,1.0486594250000394,32.0,1067.0,True,10,0.1,1000
97,97,1.0599238980000223,32.0,1078.0,True,10,0.1,1000
98,98,1.0705478620000122,32.0,1089.0,True,10,0.1,1000
99,99,1.0816302250000263,32.0,1100.0,True,10,0.1,1000
100,100,1.0925670980000177,32.0,1111.0,True,10,0.1,1000
101,101,1.1031590370000117,32.0,1122.0,True,10,0.1,1000
102,102,1.1139011509999932,32.0,1133.0,True,10,0.1,1000
103,103,1.1244799070000226,32.0,1144.0,True,10,0.1,1000
104,104,1.1360875880000094,32.0,1155.0,True,10,0.1,1000
105,105,1.1479528590000427,32.0,1166.0,True,10,0.1,1000
106,106,1.1595977000000062,32.0,1177.0,True,10,0.1,1000
107,107,1.1699374700000362,32.0,1188.0,True,10,0.1,1000
108,108,1.181214639000018,32.0,1199.0,True,10,0.1,1000
109,109,1.19209969100001,32.0,1210.0,True,10,0.1,1000
110,110,1.2026812040000436,32.0,1221.0,True,10,0.1,1000
111,111,1.2141227189999881,32.0,1232.0,True,10,0.1,1000
112,112,1.2249224310000386,32.0,1243.0,True,10,0.1,1000
113,113,1.2354781509999953,32.0,1254.0,True,10,0.1,1000
114,114,1.2465847720000056,32.0,1265.0,True,10,0.1,1000
115,115,1.257586822999997,32.0,1276.0,True,10,0.1,1000
116,116,1.2682206000000065,32.0,1287.0,True,10,0.1,1000
117,117,1.2794141350000245,32.0,1298.0,True,10,0.1,1000
118,118,1.290268803999993,32.0,1309.0,True,10,0.1,1000
119,119,1.3010424590000298,32.0,1320.0,True,10,0.1,1000
120,120,1.3121709300000362,32.0,1331.0,True,10,0.1,1000
121,121,1.3228281120000247,32.0,1342.0,True,10,0.1,1000
122,122,1.3335215730000414,32.0,1353.0,True,10,0.1,1000
123,123,1.3443445400000087,32.0,1364.0,True,10,0.1,1000
124,124,1.3548534029999928,32.0,1375.0,True,10,0.1,1000
125,125,1.3655798730000015,32.0,1386.0,True,10,0.1,1000
126,126,1.3764754549999907,32.0,1397.0,True,10,0.1,1000
127,127,1.3871612390000223,32.0,1408.0,True,10,0.1,1000
128,128,1.3979237480000393,32.0,1419.0,True,10,0.1,1000
129,129,1.4091344130000039,32.0,1430.0,True,10,0.1,1000
130,130,1.4265422779999994,32.0,1441.0,True,10,0.1,1000
131,131,1.4446600670000294,32.0,1452.0,True,10,0.1,1000
132,132,1.4574498410000274,32.0,1463.0,True,10,0.1,1000
133,133,1.4687522820000254,32.0,1474.0,True,10,0.1,1000
134,134,1.4832139119999965,32.0,1485.0,True,10,0.1,1000
135,135,1.4948005990000297,32.0,1496.0,True,10,0.1,1000
136,136,1.5060170080000148,32.0,1507.0,True,10,0.1,1000
137,137,1.5185607740000364,32.0,1518.0,True,10,0.1,1000
138,138,1.529551128000037,32.0,1529.0,True,10,0.1,1000
139,139,1.540600156000039,32.0,1540.0,True,10,0.1,1000
140,140,1.5518760950000114,32.0,1551.0,True,10,0.1,1000
141,141,1.5633484280000403,32.0,1562.0,True,10,0.1,1000
142,142,1.5753951030000053,32.0,1573.0,True,10,0.1,1000
143,143,1.5864040509999882,32.0,1584.0,True,10,0.1,1000
144,144,1.5983844049999902,32.0,1595.0,True,10,0.1,1000
145,145,1.610055879000015,32.0,1606.0,True,10,0.1,1000
146,146,1.6209164130000318,32.0,1617.0,True,10,0.1,1000
147,147,1.6328948210000362,32.0,1628.0,True,10,0.1,1000
148,148,1.6440923320000138,32.0,1639.0,True,10,0.1,1000
149,149,1.6548749330000305,32.0,1650.0,True,10,0.1,1000
150,150,1.6654654690000257,32.0,1661.0,True,10,0.1,1000
151,151,1.6762780000000248,32.0,1672.0,True,10,0.1,1000
152,152,1.6868620380000152,32.0,1683.0,True,10,0.1,1000
153,153,1.6976720830000431,32.0,1694.0,True,10,0.1,1000
154,154,1.709159354999997,32.0,1705.0,True,10,0.1,1000
155,155,1.7194678320000207,32.0,1716.0,True,10,0.1,1000
156,156,1.730432162999989,32.0,1727.0,True,10,0.1,1000
157,157,1.741070781000019,32.0,1738.0,True,10,0.1,1000
158,158,1.7517608180000366,32.0,1749.0,True,10,0.1,1000
159,159,1.763527640999996,32.0,1760.0,True,10,0.1,1000
160,160,1.7743021429999999,32.0,1771.0,True,10,0.1,1000
161,161,1.7850490550000018,32.0,1782.0,True,10,0.1,1000
162,162,1.7959941350000008,32.0,1793.0,True,10,0.1,1000
163,163,1.8065447520000362,32.0,1804.0,True,10,0.1,1000
164,164,1.8173002820000193,32.0,1815.0,True,10,0.1,1000
165,165,1.8284387350000202,32.0,1826.0,True,10,0.1,1000
166,166,1.8392160150000336,32.0,1837.0,True,10,0.1,1000
167,167,1.850087383000016,32.0,1848.0,True,10,0.1,1000
168,168,1.8611237169999981,32.0,1859.0,True,10,0.1,1000
169,169,1.8716038070000423,32.0,1870.0,True,10,0.1,1000
170,170,1.8827113710000276,32.0,1881.0,True,10,0.1,1000
171,171,1.8940213669999935,32.0,1892.0,True,10,0.1,1000
172,172,1.9048088400000438,32.0,1903.0,True,10,0.1,1000
173,173,1.915903998000033,32.0,1914.0,True,10,0.1,1000
174,174,1.9272364569999922,32.0,1925.0,True,10,0.1,1000
175,175,1.9379482440000402,32.0,1936.0,True,10,0.1,1000
176,176,1.948843074000024,32.0,1947.0,True,10,0.1,1000
177,177,1.9600414349999937,32.0,1958.0,True,10,0.1,1000
178,178,1.9706718120000346,32.0,1969.0,True,10,0.1,1000
179,179,1.981537086000003,32.0,1980.0,True,10,0.1,1000
180,180,1.992491943999994,32.0,1991.0,True,10,0.1,1000
181,181,2.003231243000016,32.0,2002.0,True,10,0.1,1000
182,182,2.0140375260000383,32.0,2013.0,True,10,0.1,1000
183,183,2.0246460559999946,32.0,2024.0,True,10,0.1,1000
184,184,2.0350999640000396,32.0,2035.0,True,10,0.1,1000
185,185,2.046025253000039,32.0,2046.0,True,10,0.1,1000
186,186,2.05684783800001,32.0,2057.0,True,10,0.1,1000
187,187,2.06782604,32.0,2068.0,True,10,0.1,1000
188,188,2.079265018000001,32.0,2079.0,True,10,0.1,1000
189,189,2.090082827999993,32.0,2090.0,True,10,0.1,1000
190,190,2.100817076999988,32.0,2101.0,True,10,0.1,1000
191,191,2.1119766429999913,32.0,2112.0,True,10,0.1,1000
192,192,2.1226228190000143,32.0,2123.0,True,10,0.1,1000
193,193,2.133343372000013,32.0,2134.0,True,10,0.1,1000
194,194,2.1444442530000174,32.0,2145.0,True,10,0.1,1000
195,195,2.1553582920000167,32.0,2156.0,True,10,0.1,1000
196,196,2.1663342180000313,32.0,2167.0,True,10,0.1,1000
197,197,2.177252753999994,32.0,2178.0,True,10,0.1,1000
