,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0004372289999992063,1.0,20.0,True,20,0.1,1000
1,1,0.029068860999814206,3.0,42.0,True,20,0.1,1000
2,2,0.056479381999906764,3.0,63.0,True,20,0.1,1000
3,3,0.08356204399979106,3.0,84.0,True,20,0.1,1000
4,4,0.10897093499988841,3.0,105.0,True,20,0.1,1000
5,5,0.13546292899991386,3.0,126.0,True,20,0.1,1000
6,6,0.16415417600001092,3.0,147.0,True,20,0.1,1000
7,7,0.19733894599994528,3.0,168.0,True,20,0.1,1000
8,8,0.2280583619999561,3.0,189.0,True,20,0.1,1000
9,9,0.2594246909998219,3.0,210.0,True,20,0.1,1000
10,10,0.30584305100001075,3.0,231.0,True,20,0.1,1000
11,11,0.35303799599978447,3.0,252.0,True,20,0.1,1000
12,12,0.38300205899986395,3.0,273.0,True,20,0.1,1000
13,13,0.41141377199983253,3.0,294.0,True,20,0.1,1000
14,14,0.4414048149997143,3.0,315.0,True,20,0.1,1000
15,15,0.47022563099972103,3.0,336.0,True,20,0.1,1000
16,16,0.5096985239997593,3.0,357.0,True,20,0.1,1000
17,17,0.5406059379997714,3.0,378.0,True,20,0.1,1000
18,18,0.5668000149998988,3.0,399.0,True,20,0.1,1000
19,19,0.5932787409997218,3.0,420.0,True,20,0.1,1000
20,20,0.6174243360001128,3.0,441.0,True,20,0.1,1000
21,21,0.6392214679999597,3.0,462.0,True,20,0.1,1000
22,22,0.661295710000104,3.0,483.0,True,20,0.1,1000
23,23,0.6835802499999772,3.0,504.0,True,20,0.1,1000
24,24,0.7051003179999498,3.0,525.0,True,20,0.1,1000
25,25,0.7266021629998249,3.0,546.0,True,20,0.1,1000
26,26,0.7526568419998512,3.0,567.0,True,20,0.1,1000
27,27,0.7747006849999707,3.0,588.0,True,20,0.1,1000
28,28,0.7989699989998371,3.0,609.0,True,20,0.1,1000
29,29,0.8199384149997968,3.0,630.0,True,20,0.1,1000
30,30,0.8410346370001207,3.0,651.0,True,20,0.1,1000
31,31,0.8616324899999199,3.0,672.0,True,20,0.1,1000
32,32,0.883518229999936,3.0,693.0,True,20,0.1,1000
33,33,0.9049864439998601,3.0,714.0,True,20,0.1,1000
34,34,0.9262874129999545,3.0,735.0,True,20,0.1,1000
35,35,0.9470647749999443,3.0,756.0,True,20,0.1,1000
36,36,0.9682793920001131,3.0,777.0,True,20,0.1,1000
37,37,0.9892075799998565,3.0,798.0,True,20,0.1,1000
38,38,1.0098309249997328,3.0,819.0,True,20,0.1,1000
39,39,1.0300072400000317,3.0,840.0,True,20,0.1,1000
40,40,1.051296007000019,3.0,861.0,True,20,0.1,1000
41,41,1.0719426929999827,3.0,882.0,True,20,0.1,1000
42,42,1.092804650999824,3.0,903.0,True,20,0.1,1000
43,43,1.1140198829998553,3.0,924.0,True,20,0.1,1000
44,44,1.1358363549998103,3.0,945.0,True,20,0.1,1000
45,45,1.156299798999953,3.0,966.0,True,20,0.1,1000
46,46,1.1769846239999424,3.0,987.0,True,20,0.1,1000
47,47,1.1981353950000084,3.0,1008.0,True,20,0.1,1000
48,48,1.2180832039998677,3.0,1029.0,True,20,0.1,1000
49,49,1.2384446709997974,3.0,1050.0,True,20,0.1,1000
50,50,1.2589605089997349,3.0,1071.0,True,20,0.1,1000
51,51,1.2800834509998822,3.0,1092.0,True,20,0.1,1000
52,52,1.301956581000013,3.0,1113.0,True,20,0.1,1000
53,53,1.3221248370000467,3.0,1134.0,True,20,0.1,1000
54,54,1.3430344839998725,3.0,1155.0,True,20,0.1,1000
55,55,1.367404458999772,3.0,1176.0,True,20,0.1,1000
56,56,1.3906926310000927,3.0,1197.0,True,20,0.1,1000
57,57,1.412005777000104,3.0,1218.0,True,20,0.1,1000
58,58,1.4340242009998292,3.0,1239.0,True,20,0.1,1000
59,59,1.4545758849999402,3.0,1260.0,True,20,0.1,1000
60,60,1.4747547530000702,3.0,1281.0,True,20,0.1,1000
61,61,1.4954073109997807,3.0,1302.0,True,20,0.1,1000
62,62,1.5169555869997566,3.0,1323.0,True,20,0.1,1000
63,63,1.5371070779997353,3.0,1344.0,True,20,0.1,1000
64,64,1.5578612899998916,3.0,1365.0,True,20,0.1,1000
65,65,1.5783211899997696,3.0,1386.0,True,20,0.1,1000
66,66,1.6002635969998664,3.0,1407.0,True,20,0.1,1000
67,67,1.621639481999864,3.0,1428.0,True,20,0.1,1000
68,68,1.6420628739997483,3.0,1449.0,True,20,0.1,1000
69,69,1.6624531869997554,3.0,1470.0,True,20,0.1,1000
70,70,1.6850063449996924,3.0,1491.0,True,20,0.1,1000
71,71,1.7062913429999753,3.0,1512.0,True,20,0.1,1000
72,72,1.7411786399998164,3.0,1533.0,True,20,0.1,1000
73,73,1.769464773999971,3.0,1554.0,True,20,0.1,1000
74,74,1.7903792070001145,3.0,1575.0,True,20,0.1,1000
75,75,1.8109061330001168,3.0,1596.0,True,20,0.1,1000
76,76,1.831681383999694,3.0,1617.0,True,20,0.1,1000
