,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.001122277000149552,0.0,20.0,True,20,0.1,1000
1,1,0.024897327000189762,165.0,42.0,True,20,0.1,1000
2,2,0.04412596200018015,177.0,64.0,True,20,0.1,1000
3,3,0.06365809300018554,181.0,86.0,True,20,0.1,1000
4,4,0.0837438750002093,184.0,108.0,True,20,0.1,1000
5,5,0.10280629300018518,184.0,129.0,True,20,0.1,1000
6,6,0.12378432600007727,184.0,150.0,True,20,0.1,1000
7,7,0.14819979500020963,184.0,171.0,True,20,0.1,1000
8,8,0.169832721000148,184.0,192.0,True,20,0.1,1000
9,9,0.19173064800020256,184.0,213.0,True,20,0.1,1000
10,10,0.2137254970000413,184.0,234.0,True,20,0.1,1000
11,11,0.23520319600015682,184.0,255.0,True,20,0.1,1000
12,12,0.25720497700012857,184.0,276.0,True,20,0.1,1000
13,13,0.279050517000087,184.0,297.0,True,20,0.1,1000
14,14,0.3008368320001864,184.0,318.0,True,20,0.1,1000
15,15,0.32410453600004985,184.0,339.0,True,20,0.1,1000
16,16,0.34602264600016497,184.0,360.0,True,20,0.1,1000
17,17,0.3680488470001819,184.0,381.0,True,20,0.1,1000
18,18,0.38946011000007275,184.0,402.0,True,20,0.1,1000
19,19,0.4123141770000984,184.0,423.0,True,20,0.1,1000
20,20,0.4342700860001969,184.0,444.0,True,20,0.1,1000
21,21,0.4562134490001881,184.0,465.0,True,20,0.1,1000
22,22,0.4791281110001364,184.0,486.0,True,20,0.1,1000
23,23,0.5042295080002077,184.0,507.0,True,20,0.1,1000
24,24,0.5260919900001682,184.0,528.0,True,20,0.1,1000
25,25,0.5651984230000835,184.0,549.0,True,20,0.1,1000
26,26,0.6012116360000164,184.0,570.0,True,20,0.1,1000
27,27,0.6250476040002013,184.0,591.0,True,20,0.1,1000
28,28,0.6497684560001744,184.0,612.0,True,20,0.1,1000
29,29,0.6716820990000087,184.0,633.0,True,20,0.1,1000
30,30,0.6942388170000413,184.0,654.0,True,20,0.1,1000
31,31,0.7160186700000395,184.0,675.0,True,20,0.1,1000
32,32,0.7370477110000593,184.0,696.0,True,20,0.1,1000
33,33,0.7575081450002017,184.0,717.0,True,20,0.1,1000
34,34,0.7790949230000024,184.0,738.0,True,20,0.1,1000
35,35,0.7999417640000956,184.0,759.0,True,20,0.1,1000
36,36,0.8205290200000945,184.0,780.0,True,20,0.1,1000
37,37,0.8410686540000825,184.0,801.0,True,20,0.1,1000
38,38,0.8636367540000265,184.0,822.0,True,20,0.1,1000
